,period_0_avg,period_1_avg,difference
Jan,3.5190781928505914,3.5274231355538403,-0.008344942703248925
Feb,3.510931917538382,3.5047528265714316,0.006179090966950351
Mar,3.482203534369317,3.495855858174916,-0.01365232380559922
Apr,3.4838026568638365,3.4748095057130954,0.008993151150741063
May,3.525893313918807,3.538644866525271,-0.012751552606464323
Jun,3.6207156164519336,3.6101736079468307,0.010542008505102896
Jul,3.6489746348660828,3.6625967412163702,-0.013622106350287488
Aug,3.595241331286147,3.583714030875727,0.01152730041042016
Sep,3.4967817086052095,3.5055231267242135,-0.008741418119003974
Oct,3.485703928739723,3.498354614436337,-0.012650685696613984
Nov,3.454228318116625,3.4755664939464057,-0.021338175829780592
Dec,3.502315334823131,3.487883601495996,0.014431733327134655
