,period_0_avg,period_1_avg,difference
Jan,293.38337510320616,293.4296855032672,-0.04631040006103149
Feb,293.9624293690871,293.98857606865437,-0.026146699567277665
Mar,294.647358173928,294.6848601486515,-0.037501974723511466
Apr,295.37867213961835,295.4372991317126,-0.058626992094275465
May,296.1643340686053,296.1943537721334,-0.030019703528125774
Jun,296.8373838649718,296.87728793328915,-0.03990406831735527
Jul,297.20374350819105,297.2407392434517,-0.036995735260632046
Aug,296.94951007250563,297.0106939216294,-0.061183849123779055
Sep,296.0779909390303,296.11240852813205,-0.03441758910173576
Oct,294.9135822401104,294.9302133921642,-0.01663115205383292
Nov,293.8043558078635,293.86088888921415,-0.056533081350664816
Dec,293.182158250216,293.2439212242949,-0.061762974078931165
